cliente_csv,cliente_id,valor_anterior,valor_novo,status,mensagem
A. J. BOBATO (LARISSA SUPERMERCADOS),2,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
AGRÍCOLA URTIGÃO,3,,1.68,PENDENTE_REVISAO,Match precisa de revisao manual.
ALIMENTOS ZAELI LTDA,4,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
ARCO-IRIS AGROSILVOPASTORIL LTDA.,575,,2.00,DRY_RUN,Match exato por nome normalizado.
AURELIO ROLIM ROCHA,6,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
BRILHANTE TRANSPORTES NACIONAL E INTERNACIONAL,7,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
BRUXELAS COMERCIO DE ALIMENTOS,494,,1.66,PENDENTE_REVISAO,Match precisa de revisao manual.
CAED COM. IMP. E EXP. DE CEREAIS,9,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
CAED COMERCIO DE GRAOS,10,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
CAED LOGISTICA,11,1.66,1.66,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
CAMILO DIST. COMERCIAL DE ALIMENTOS,12,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
CAMILO DIST. COMERCIAL DE ALIMENTOS,12,1.85,1.66,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
CASA CHICO DE PNEUS LTDA,244,,1.35,PENDENTE_REVISAO,Match precisa de revisao manual.
CENTER SUL COM. E DIST. EIRELI (SUPERMERCADO BAHNIUK),16,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
CHAPADA COMÉRCIO DE ALIMENTOS,17,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
