cliente;valor por km
A. J. BOBATO (LARISSA SUPERMERCADOS);1.85
AGRÍCOLA URTIGÃO;1.68
ALIMENTOS ZAELI LTDA;1.00
ARCO-IRIS AGROSILVOPASTORIL L TDA.;2.00
AURELIO ROLIM ROCHA;1.85
BRILHANTE TRANSPORTES NACIONAL E INTERNACIONAL;1.85
BRUXELAS COMERCIO DE ALIMENTOS;1.66
CAED COM. IMP. E EXP. DE CEREAIS;1.00
CAED COMERCIO DE GRAOS;1.00
CAED LOGISTICA;1.66
CAMILO DIST. COMERCIAL DE ALIMENTOS;1.85
CANCELIER & FILHOS LTDA;1.66
CARLOS DE MARCHI & OUTROS - CHACARA HELIO;1.35
CASA CHICO DE PNEUS LTDA;1.35
CENTER SUL COM. E DIST. EIRELI (SUPERMERCADO BAHNIUK);1.85
CHAPADA COMÉRCIO DE ALIMENTOS;1.85
CIA BEAL DE ALIMENTOS;1.85
CIMA ENGENHARIA E EMPREENDIMENTOS LTDA;1.10
CONTROLSUL GESTÃO EMPRESARIAL;1.35
COSTA OESTE SERVICOS DE LIMPEZA;1.00
CSD - COMPANHIA SULAMERICANA DE DISTRIBUICAO;1.78
CURICACA - ARMAZENS GERAIS LTDA;1.00
DAPONT & CIA LTDA;1.78
DELARA SUPERMERCADO LTDA;1.78
DILETTARE;1.85
DIST. CIRCUITO - CIRCUITO ATACADO E VAREJO;1.85
D'MARCHE INDÚSTRIA DE COSMETICOS LTDA;1.35
ELETROTRAFO PRODUTOS ELETRICOS;1.00
ERVA MATE SANTO ANTONIO;1.85
ESCRITÓRIO UNIVERSAL;1.35
EXPOFRUT BRASIL IMPORTADORA E EXPORTADORA LTDA;1.85
FAROL COMERCIO DE ALIMENTOS EIRELI;1.00
GERALDO ALGERI & CIA LTDA;1.00
GILBERTO ALVIN ZOLLER;2.00
GRACZYKI & GRACZYKI;1.85
GRAND VALLE AGRÍCOLA IMPORTADORA E EXPORTADORA LTDA;1.85
GRUPO ENDO;1.78
GRUPO VALOR;1.54
GUERRO & PAGNUSSAT LTDA;1.85
H.E. IND. E COM. DE LATICINIOS LTDA;1.78
HELLEN COLCHÕES;1.85
ICTUS SOLUÇÕES EM ENERGIA LTDA;1.85
IGUMA COMERCIO DE CEREAIS;1.78
INDEX FLORESTAL LTDA.;1.85
INDUSTRIA DE CONFECCOES K-DU;1.00
INSTITUTO ALTA PERFORMANCE;1.00
IRMÃOS NETTO LTDA;1.78
ITALIANINHA TRANSPORTES DE PASSAGEIROS LTDA;1.85
ITALO SUPERMERCADOS LTDA;1.85
JCHAGAS ALIMENTOS LTDA;1.44
JOÃO ANDRADE - HOLDING;1.85
JOÃO MAURICIO DANTAS LEITE;1.10
JOÃO MUSSI KALACHE BACH & CIA;1.78
JOSÉ ROBERTO TEIXEIRA;1.85
KELVE SUPERMERCADOS;1.35
KOLTUN & COLATUSSO LTDA;1.85
KRAEMER & KRAEMER LTDA;1.54
L. A. DALL ACQUA & CIA LTDA;1.00
LATICINIOS GUAIRA LTDA;1.00
LEJON AUTO SERVIÇO LTDA;1.00
LEO COSMETICOS LTDA;1.85
LGM SUPERMERCADOS LTDA;1.00
LWEBBER DISTRIBUIDORA LTDA;1.78
MARIANO IVASKO & CIA;1.78
MERCEARIA MARONESI LTDA;1.00
MINERPHÓS;1.85
NESTOR LACHMAN & CIA;1.85
NOMA DO BRASIL S.A.;1.78
OBARA MIYAMOTO & CIA LTDA;1.00
PICO COMERCIO DE MOTOS LIMITADA;1.85
PICO COMERCIO DE MOTOS LTDA;1.38
PLANOS SUPERMERCADO LTDA;1.85
PLANTAR;1.31
QUIMISUL PRODUTOS DE LIMPEZA EIRELI;1.78
RANCHO S VETERINARIA LTDA;1.85
RECCO CONFECÇÕES LTDA;1.00
ROYAL SUPERMERCADOS;1.35
SANCHES & VECCHIATE LTDA;1.78
SAVANA;1.85
SERILON BRASIL LTDA;1.10
SICOOB CREDICAPITAL;1.35
SIVIERO & CIA LTDA;1.85
SIVIERO & FILHOS LTDA;1.85
SIVIERO & LOPES LTDA;1.85
SORRISO SUPERMERCADOS;1.85
SPERAFICO AGROINDUSTRIAL;1.00
SPERAFICO DA AMAZONIA;1.00
STO ANTONIO IND. E COM. DE ALIMENTOS - EIRELI;1.85
SUCOS LIFE;1.85
SUIAVI ALIMENTOS LTDA;1.78
SUPER ATACADO S.A.;1.00
SUPERMERCADO BARP;1.00
SUPERMERCADO FREITAS LTDA;1.78
SUPERMERCADO GEITTENES & CIA LTDA;1.78
SUPERMERCADO INDUSTRIAL LTDA;1.00
SUPERMERCADO SAVISKI;1.75
SUPERMERCADO TALEVI;1.74
SUPERMERCADO VIVIAN LTDA;1.00
SUPERMERCADOS BAZA LTDA;1.00
SUPERMERCADOS IRANI LTDA;1.85
SUPERMERCARDO BAVARESCO;1.85
TEIXEIRA COMERCIO DE CEREAIS LTDA;1.85
TONELLO E MACHADO DA LUZ LTDA;1.85
TOZETTO E CIA LTDA;1.85
UNIÃO SUPLEMENTAÇÃO;1.85
VALOR COMMODITIES;1.57
WILMSEN & WILMSEN LTDA;1.00
Z. HOLDING PARTICIPAÇÕES S/A;1.10
